game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
696916498842650050,Matches Today,gs25#11901,BR Quads,04:43 AM,7th,1,5,"1,148",58.77
5560916811748953461,Matches Today,gs25#11901,BR Quads,04:34 AM,30th,2,2,391,51.79
6269943296564155979,Matches Today,gs25#11901,BR Quads,04:06 AM,5th,6,13,"2,508",93.41
12671995038493568809,Matches Today,gs25#11901,BR Quads,03:55 AM,30th,4,2,"1,474",143.57
5160993807131535279,Matches Today,gs25#11901,Resurgence Trios,03:51 AM,14th,1,,478,181.52
16190990030985464430,Matches Today,gs25#11901,BR Quads,03:36 AM,22nd,4,7,"1,146",78.49
5766657659504091454,Matches Today,gs25#11901,Resurgence Trios,03:30 AM,11th,3,2,"1,168",241.66
11698300319115607519,Dec 23,gs25#11901,BR Quads,04:50 AM,16th,3,4,"1,109",69.17
17182078833479220539,Dec 23,gs25#11901,BR Quads,04:22 AM,3rd,6,9,"2,377",91.36
15925514889536635669,Dec 23,gs25#11901,BR Quads,03:57 AM,8th,7,8,"3,702",155.76
573270288278313393,Dec 23,gs25#11901,BR Quads,03:43 AM,26th,4,6,"1,350",103.05
7068172527233308540,Dec 23,gs25#11901,BR Quads,01:34 AM,2nd,5,3,"2,243",83.80
11069810420960945159,Dec 23,gs25#11901,BR Quads,01:07 AM,8th,6,6,"2,235",88.46
16641452119425625379,Dec 23,gs25#11901,BR Quads,12:57 AM,28th,0,5,645,72.07
8023509551043109062,Dec 23,gs25#11901,BR Trios,12:28 AM,2nd,8,5,"2,907",107.27
9513348898390230932,Dec 23,gs25#11901,BR Trios,12:05 AM,7th,7,3,"3,711",175.74
