game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
13879736317583612718,Matches Today,yummkpop#1347,BR Quads,04:44 AM,14th,9,5,"2,448",157.26
17936720697837612700,Matches Today,yummkpop#1347,BR Quads,04:29 AM,16th,7,4,"1,636",122.85
18409220596838858383,Matches Today,yummkpop#1347,BR Quads,04:18 AM,24th,3,,951,91.00
14884971557010714661,Matches Today,yummkpop#1347,BR Quads,03:49 AM,1st,6,13,"2,773",99.63
17598370770509513912,Matches Today,yummkpop#1347,BR Quads,03:39 AM,32nd,3,1,"1,223",156.13
8080349017543406698,Matches Today,yummkpop#1347,BR Quads,03:26 AM,25th,4,7,"2,160",180.00
16355085095961927714,Matches Today,yummkpop#1347,BR Quads,03:01 AM,6th,10,5,"3,463",152.00
696916498842650050,Dec 24,yummkpop#1347,BR Quads,04:43 AM,7th,3,11,"1,107",56.67
5560916811748953461,Dec 24,yummkpop#1347,BR Quads,04:34 AM,30th,1,,237,31.32
6269943296564155979,Dec 24,yummkpop#1347,BR Quads,04:06 AM,5th,8,13,"4,850",180.63
12671995038493568809,Dec 24,yummkpop#1347,BR Quads,03:55 AM,30th,5,5,"2,049",199.90
16190990030985464430,Dec 24,yummkpop#1347,BR Quads,03:36 AM,22nd,4,5,"1,933",132.25
5766657659504091454,Dec 24,yummkpop#1347,Resurgence Trios,03:30 AM,11th,1,1,"1,032",215.00
