game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
476391373389701175,bigby93#1374,3,2,0,1.50,752,"1,400",170.39,0,0,,61,08m 13s,"7,823","1,900","5,913",0,10,0,0,,1,0,"291,884",94.1%,07m 16s,1,0,,317,2,,2,4
11868413224119239119,bigby93#1374,1,2,0,0.50,170,250,71.09,0,0,,119,03m 31s,"2,102",250,"1,842",0,10,0,0,,1,0,"261,220",92.6%,02m 14s,0,0,,200,,,1,
10290145798472380759,bigby93#1374,2,2,0,1.00,819,"1,500",133.14,0,1,,47,11m 16s,"9,320","2,000","7,290",0,30,0,0,,1,0,"325,612",96.3%,09m 48s,0,0,,276,1,,1,9
8527248930402374839,bigby93#1374,2,1,0,2.00,301,"3,300",406.57,0,0,,70,08m 07s,"9,782","4,320","5,442",0,20,0,0,,1,0,"253,479",92.9%,06m 56s,0,0,1,100,2,,2,5
12209720951650580062,bigby93#1374,1,2,0,0.50,241,350,102.94,0,0,,123,03m 24s,"2,421",650,"1,696",0,75,0,0,,0,0,"267,112",99.2%,02m 14s,0,0,,200,,,1,1
7585142641708182743,bigby93#1374,3,2,0,1.50,832,950,122.84,0,0,,73,07m 44s,"6,334","1,350","4,934",0,50,0,0,,1,0,"204,591",96.6%,06m 26s,0,0,,348,1,,2,1
9669405621238347907,bigby93#1374,6,2,0,3.00,"2,735","8,250",374.15,0,0,,9,22m 03s,"21,661","10,070","10,709",0,320,0,0,1,1,0,"363,004",89.9%,20m 44s,0,0,5,925,3,6,7,6
9658649716772783504,bigby93#1374,4,2,0,2.00,"1,304","1,325",156.50,0,0,,28,08m 28s,"5,550","1,325","4,205",0,20,0,0,,1,0,"292,822",96.0%,07m 29s,0,0,,626,1,2,2,2
6282365242087640893,bigby93#1374,11,2,0,5.50,"4,069","11,850",458.71,0,2,,2,25m 50s,"28,140","14,690","12,711",0,360,0,0,2,0,1,"414,860",90.6%,24m 27s,0,0,6,961,3,7,9,12
17234897325129716862,bigby93#1374,0,2,0,0.00,48,0,0.00,0,0,,130,03m 23s,"1,559",100,"1,429",0,30,0,0,,0,1,"225,170",89.1%,02m 08s,0,0,,200,,,0,
9576378308333143705,bigby93#1374,3,2,0,1.50,902,"3,550",524.63,0,1,,68,06m 46s,"9,620","4,450","5,120",0,50,0,0,,0,0,"293,070",98.8%,05m 33s,0,0,1,240,1,,3,6
10888012978034719913,bigby93#1374,2,2,0,1.00,427,"4,400",503.82,0,0,,51,08m 44s,"11,725","4,900","6,805",0,20,0,0,,1,0,"200,251",93.2%,08m 22s,0,0,2,443,1,,1,8
5614274709702434644,bigby93#1374,2,2,0,1.00,"1,130","3,925",306.24,0,0,,27,12m 49s,"15,019","6,325","8,597",0,30,0,0,,1,0,"386,601",94.5%,11m 37s,0,0,1,306,4,1,2,8
11834300067088971081,bigby93#1374,3,5,0,0.60,"1,847","6,500",261.57,0,1,,6,24m 51s,"21,801","8,840","11,914",0,50,0,0,,1,3,"401,619",72.2%,23m 28s,0,0,2,"1,393",5,4,3,14
5268302793416117289,bigby93#1374,0,2,0,0.00,505,"2,475",199.87,0,0,2,23,12m 23s,"9,503","3,875","5,593",0,0,0,0,,0,2,"339,519",63.1%,10m 59s,0,0,2,433,3,,0,6
11202996407889354185,bigby93#1374,2,3,0,0.67,"1,794","2,900",210.91,0,0,,19,13m 45s,"10,996","4,420","6,499",0,20,0,0,,1,1,"345,208",86.9%,12m 26s,0,0,1,909,1,2,2,10
3692702600416130481,bigby93#1374,0,0,0,0.00,0,0,0.00,0,0,,51,20s,0,0,0,0,0,0,0,,0,0,0,0.0%,00m 8.736s,0,0,,0,,,0,
4131587330786151754,bigby93#1374,6,2,0,3.00,"1,124","5,800",535.38,0,0,,53,10m 50s,"15,422","8,520","6,827",0,75,0,0,,1,0,"210,954",93.1%,09m 05s,0,0,2,330,1,,3,12
12650372176063704074,bigby93#1374,1,2,0,0.50,246,"3,650",422.78,0,1,,64,08m 38s,"10,128","4,350","5,748",0,30,0,0,,1,0,"360,412",99.5%,07m 24s,0,0,1,200,1,,1,12
15889252965586065392,bigby93#1374,3,0,0,3.00,700,"1,150",296.14,0,1,,111,03m 53s,"3,519","1,150","2,359",0,10,0,0,,0,0,"276,517",100.0%,02m 46s,0,0,,0,1,,3,3
