game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
11698300319115607519,gs25#11901,3,3,0,1.00,"1,109","3,500",218.30,0,0,,16,16m 02s,"13,197","5,400","7,787",0,10,0,0,,0,2,"376,684",57.4%,14m 43s,0,0,1,552,3,2,2,4
17182078833479220539,gs25#11901,6,3,4,2.00,"2,377","8,850",340.17,0,1,1,3,26m 01s,"25,309","11,290","12,597",0,290,0,0,1,1,1,"452,037",94.0%,24m 46s,0,0,6,770,4,3,5,9
15925514889536635669,gs25#11901,7,2,2,3.50,"3,702","7,550",317.67,0,2,3,8,23m 46s,"20,713","8,775","11,139",0,295,0,0,1,0,1,"525,231",95.2%,22m 34s,0,0,5,877,2,5,6,8
573270288278313393,gs25#11901,4,2,1,2.00,"1,350","7,050",538.17,0,1,,26,13m 06s,"12,828","7,550","5,208",0,10,0,0,,0,1,"278,393",97.3%,11m 46s,0,0,5,464,2,3,3,6
7068172527233308540,gs25#11901,5,4,5,1.25,"2,243","5,200",194.27,0,1,1,2,26m 46s,"23,670","9,100","12,920",0,280,0,0,2,1,2,"366,491",74.5%,25m 20s,0,0,2,"1,320",5,2,5,3
11069810420960945159,gs25#11901,6,2,3,3.00,"2,235","4,975",196.90,0,2,3,8,25m 16s,"18,862","6,435","11,427",0,40,0,0,1,1,0,"460,356",97.0%,23m 48s,0,0,1,805,5,3,4,6
16641452119425625379,gs25#11901,0,2,1,0.00,645,700,78.21,0,0,,28,08m 57s,"4,889","1,000","3,889",0,0,0,0,,0,1,"294,349",96.7%,07m 45s,0,0,,469,1,,0,5
8023509551043109062,gs25#11901,8,2,3,4.00,"2,907","7,875",290.59,0,3,3,2,27m 06s,"26,411","10,415","13,412",0,370,0,0,1,1,0,"565,941",94.6%,25m 43s,0,0,4,907,4,8,6,5
9513348898390230932,gs25#11901,7,2,7,3.50,"3,711","9,625",455.80,0,4,,7,21m 07s,"24,987","13,325","10,852",0,375,0,0,,1,0,"369,705",98.8%,19m 44s,0,0,5,"1,177",3,7,6,3
13233651522199027001,gs25#11901,0,3,3,0.00,563,"1,275",96.23,0,0,,19,13m 15s,"10,049","2,475","7,574",0,0,0,0,,0,2,"342,887",90.1%,11m 56s,0,0,,570,3,1,1,6
687639334006703739,gs25#11901,0,0,0,0.00,115,0,0.00,0,0,,36,54s,0,0,0,0,0,0,0,,0,0,0,0.0%,00m 3.072s,0,0,,0,,,0,
7869723912574660908,gs25#11901,4,3,4,1.33,"2,428","7,450",262.32,0,3,,4,28m 24s,"26,404","11,400","12,952",0,330,0,0,2,0,2,"373,409",94.8%,27m 05s,0,0,3,836,4,4,6,13
16870116248722004477,gs25#11901,4,2,2,2.00,"1,306","4,875",452.09,0,1,1,27,10m 47s,"10,099","5,175","4,874",0,40,0,0,,1,0,"326,525",97.7%,09m 32s,0,0,2,320,1,3,3,2
8064732788834449646,gs25#11901,1,2,1,0.50,220,"1,775",207.20,0,0,,34,08m 34s,"5,407","2,375","3,012",0,20,0,0,,1,0,"302,880",89.3%,07m 14s,0,0,1,523,2,,1,4
1265591431154203119,gs25#11901,2,2,3,1.00,772,"4,350",233.24,0,0,1,17,18m 39s,"14,110","5,770","8,219",0,10,0,0,,1,0,"512,164",95.7%,17m 22s,0,0,2,533,2,,1,6
276096696879183769,gs25#11901,1,2,0,0.50,773,"2,025",266.45,0,0,,33,07m 36s,"5,262","2,525","2,727",0,10,0,0,,0,1,"279,038",91.6%,06m 01s,0,0,2,372,3,1,1,1
6510012733783238628,gs25#11901,5,3,1,1.67,"1,684","3,775",213.48,0,0,1,13,17m 41s,"16,860","7,715","8,911",0,30,0,0,,1,1,"433,918",94.4%,16m 17s,0,0,1,751,4,3,4,10
14653290013535352129,gs25#11901,6,3,5,2.00,"2,300","9,800",342.46,0,1,1,1,28m 37s,"26,799","13,180","12,873",0,50,0,0,1,1,1,"516,494",81.2%,27m 39s,0,0,5,"1,444",5,4,3,10
4141133154218832885,gs25#11901,4,2,0,2.00,"1,117","1,750",200.38,0,0,1,29,08m 44s,"5,873","2,250","3,613",0,10,0,0,,0,1,"261,810",97.8%,07m 22s,0,0,,540,2,2,2,7
2983170320968530452,gs25#11901,1,3,2,0.33,783,"3,350",218.00,0,0,1,18,15m 22s,"13,680","6,195","7,450",0,0,0,0,,0,2,"249,235",78.2%,14m 05s,0,0,1,646,3,1,1,4
