game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
6969173022209160501,yummkpop#1347,1,2,0,0.50,696,"3,175",361.48,0,0,,30,08m 47s,"6,957","3,675","3,282",0,0,0,0,,0,1,"271,239",83.0%,07m 34s,0,0,1,242,1,1,1,6
10251437350741294273,yummkpop#1347,0,2,0,0.00,449,375,44.12,0,0,,27,08m 30s,"4,999",875,"4,124",0,0,0,0,,0,1,"271,312",45.7%,07m 08s,0,0,,637,2,,0,1
15421420414925206938,yummkpop#1347,0,2,0,0.00,646,"3,375",194.71,0,1,,15,17m 20s,"12,405","4,195","8,101",0,50,0,0,1,0,1,"422,430",80.0%,16m 03s,0,0,2,416,2,1,1,8
2671350420482334968,yummkpop#1347,3,1,0,3.00,897,"2,400",209.00,0,0,2,25,11m 29s,"7,183","2,400","4,733",0,0,0,0,,1,0,"516,561",95.5%,09m 44s,0,0,1,215,,2,2,5
6619170849598858237,yummkpop#1347,7,2,0,3.50,"3,705","4,050",174.07,0,2,2,7,23m 16s,"16,755","4,350","11,548",0,320,0,0,1,0,1,"376,978",88.3%,21m 54s,0,0,,720,1,6,7,9
12133727580016502870,yummkpop#1347,3,2,0,1.50,"1,283","2,575",214.58,0,1,,20,12m 00s,"8,851","2,575","6,266",0,10,0,0,1,1,0,"291,833",97.0%,10m 38s,0,0,1,428,1,1,2,5
14855712536787442897,yummkpop#1347,13,1,0,13.00,"4,018","12,375",509.61,0,1,1,6,24m 17s,"28,371","13,520","12,040",0,820,0,0,3,0,0,"368,944",97.1%,22m 57s,0,0,6,660,1,10,12,5
5075387078736720076,yummkpop#1347,3,3,0,1.00,"1,797","1,050",57.96,0,0,2,12,18m 07s,"11,875","2,250","9,593",0,10,0,0,,1,1,"391,939",79.2%,16m 50s,0,0,,993,2,,1,3
6603640359788115225,yummkpop#1347,4,3,0,1.33,"1,865","3,700",217.01,0,0,,16,17m 03s,"16,772","7,600","8,750",0,260,0,0,,0,2,"352,041",87.2%,15m 43s,0,0,2,464,4,4,5,5
4796021943793006469,yummkpop#1347,2,2,0,1.00,"1,023","3,225",214.76,0,0,,18,15m 01s,"13,308","5,125","8,128",0,0,0,0,,1,0,"355,660",94.2%,13m 41s,0,0,1,419,2,1,2,15
