game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
12955494158444691315,zeroserker#1337,1,3,0,0.33,366,"9,900",462.26,0,0,,13,21m 25s,"20,017","10,400","9,612",0,0,0,0,1,0,2,"460,522",81.2%,20m 05s,0,0,9,612,3,,1,10
12738010084500329887,zeroserker#1337,3,4,1,0.75,"1,688","7,275",310.46,0,0,,6,23m 26s,"19,570","7,600","11,693",0,10,0,0,,0,3,"315,736",87.5%,21m 43s,0,0,7,"1,082",2,4,2,3
7314646276288291020,zeroserker#1337,10,3,1,3.33,"2,780","5,675",431.56,0,0,2,20,13m 09s,"13,294","6,175","6,558",0,435,0,0,2,1,1,"316,373",96.2%,11m 53s,0,0,2,"1,115",1,6,6,4
13762401846356229730,zeroserker#1337,2,3,2,0.67,"1,493","6,050",325.27,0,0,,10,18m 36s,"16,524","6,550","9,907",0,10,0,0,1,0,2,"298,977",77.7%,17m 19s,0,0,5,"1,262",2,2,3,2
7573066476077844879,zeroserker#1337,3,2,4,1.50,"1,281","6,050",215.05,0,1,3,1,28m 08s,"21,802","8,010","13,076",0,30,0,0,1,0,2,"394,064",94.2%,26m 55s,0,0,3,835,3,2,2,11
11269262590786748193,zeroserker#1337,2,3,0,0.67,"1,282","3,025",153.04,0,0,1,11,19m 46s,"14,012","4,145","9,784",0,25,0,0,,0,2,"225,422",56.0%,18m 24s,0,0,2,864,4,2,1,4
2452511754432298028,zeroserker#1337,8,0,4,8.00,"3,128","13,700",490.75,0,2,3,1,27m 55s,"36,370","20,900","12,778",0,315,0,0,2,0,0,"438,945",96.0%,26m 27s,0,0,8,379,5,6,9,11
166789920170152961,zeroserker#1337,0,4,1,0.00,604,400,37.80,0,0,,7,10m 35s,"5,058","1,075","3,973",0,10,0,0,,0,0,"93,098",82.9%,08m 56s,0,0,,"1,031",,,0,3
12908584275300178648,zeroserker#1337,1,5,4,0.20,"1,384","1,200",101.27,0,0,,5,11m 51s,"5,602","1,200","4,230",0,20,0,0,,0,0,"124,700",82.7%,10m 39s,0,0,,"1,249",1,1,1,5
17948462844728439216,zeroserker#1337,0,1,0,0.00,186,450,121.62,0,0,,13,03m 42s,"2,530","1,450","1,080",0,0,0,0,,0,0,"70,626",93.0%,02m 09s,0,0,,200,1,,0,3
6371716728980100184,zeroserker#1337,1,1,3,1.00,"1,482","7,225",282.59,0,1,3,4,25m 34s,"22,410","9,785","12,484",0,20,0,0,,0,0,"403,705",87.1%,24m 17s,0,0,5,381,4,2,2,7
1994483019911682945,zeroserker#1337,2,3,0,0.67,886,"1,325",161.91,0,0,1,28,08m 11s,"5,524","1,825","3,689",0,10,0,0,,1,1,"246,095",81.5%,06m 53s,0,0,,869,1,1,1,6
17186776500400332224,zeroserker#1337,4,2,1,2.00,"1,321","4,025",218.75,0,1,,16,18m 24s,"13,684","4,945","8,350",0,30,0,0,1,1,0,"458,246",95.2%,17m 07s,0,0,3,510,3,3,3,5
3376491939744792884,zeroserker#1337,4,3,0,1.33,610,"1,925",152.78,0,1,,22,12m 36s,"9,158","2,925","6,213",0,20,0,0,1,0,2,"275,903",82.5%,11m 13s,0,0,,728,2,1,2,8
3718319751120731954,zeroserker#1337,4,2,0,2.00,"1,164","5,375",585.30,0,1,1,11,09m 11s,"8,629","5,675","2,867",0,30,0,0,,0,0,"107,928",92.4%,07m 55s,0,0,3,660,2,4,4,11
1182579065325787508,zeroserker#1337,0,0,0,0.00,0,0,0.00,0,0,,73,16s,0,0,0,0,0,0,0,,0,0,0,0.0%,00m 3.072s,0,0,,0,,,0,
506524265722139618,zeroserker#1337,0,0,0,0.00,0,0,0.00,0,0,,43,17s,0,0,0,0,0,0,0,,0,0,0,0.0%,03m 15s,0,0,,0,,,0,
7682715066388759630,zeroserker#1337,2,4,0,0.50,"1,003",650,90.07,0,1,,12,07m 13s,"3,194",750,"2,409",0,35,0,0,,0,0,"95,801",74.1%,05m 58s,0,0,,710,,2,2,
12768572730061614883,zeroserker#1337,3,5,2,0.60,"1,504","2,200",176.71,0,0,1,4,12m 27s,"7,814","2,525","4,809",0,30,0,0,1,0,0,"130,453",89.4%,11m 16s,0,0,1,"1,309",1,3,3,2
3775141193067573095,zeroserker#1337,0,0,0,0.00,156,0,0.00,0,0,,143,01m 0s,0,0,0,0,0,0,0,,0,0,0,0.0%,00m 3.072s,0,0,,0,,,0,
