game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
2963149074730751583,Dec 02,zeroserker#1337,BR Quads,11:53 PM,16th,4,2,"2,037",92.24
13209731896698053515,Dec 02,zeroserker#1337,BR Quads,11:31 PM,8th,8,6,"2,879",131.06
9669405621238347907,Dec 02,zeroserker#1337,BR Quads,07:46 PM,9th,5,5,"1,605",72.62
9658649716772783504,Dec 02,zeroserker#1337,BR Quads,07:37 PM,28th,1,2,369,43.50
6282365242087640893,Dec 02,zeroserker#1337,BR Quads,07:10 PM,2nd,5,5,"2,500",96.59
10762308631311812145,Dec 02,zeroserker#1337,BR Trios,06:59 PM,32nd,2,2,673,69.50
4744001803815052072,Dec 02,zeroserker#1337,BR Quads,06:31 PM,3rd,5,6,"1,907",74.88
1664135678754719772,Dec 02,zeroserker#1337,BR Quads,06:06 PM,7th,1,17,873,40.64
4751334300655647111,Dec 02,zeroserker#1337,BR Quads,05:41 PM,9th,5,5,"1,710",70.76
13368982060601015834,Dec 02,zeroserker#1337,BR Quads,05:18 PM,12th,3,10,"1,283",57.97
11834300067088971081,Dec 01,zeroserker#1337,BR Quads,10:57 PM,6th,2,13,"1,385",55.73
5268302793416117289,Dec 01,zeroserker#1337,BR Quads,10:44 PM,23rd,2,2,818,66.06
11202996407889354185,Dec 01,zeroserker#1337,BR Quads,10:29 PM,19th,3,1,"1,302",94.69
3692702600416130481,Dec 01,zeroserker#1337,BR Trios,10:26 PM,51st,0,,0,0.00
