game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
9669405621238347907,munch#1944,2,3,0,0.67,980,"3,850",174.47,0,1,1,9,22m 04s,"16,564","5,770","10,709",0,30,0,0,,0,2,"330,981",84.1%,20m 44s,0,0,3,650,3,2,2,1
9658649716772783504,munch#1944,1,2,0,0.50,187,500,59.17,0,0,1,28,08m 27s,"4,725",500,"4,205",0,20,0,0,,1,0,"279,945",70.3%,07m 29s,0,0,,385,1,,1,1
6282365242087640893,munch#1944,3,4,0,0.75,"1,728","2,600",100.58,0,1,1,2,25m 51s,"18,061","5,140","12,711",0,35,0,0,,1,2,"324,850",74.1%,24m 27s,0,0,1,"1,062",3,2,2,2
10762308631311812145,munch#1944,2,2,0,1.00,637,900,93.43,0,1,1,32,09m 38s,"5,633",900,"4,713",0,20,0,0,,0,1,"173,527",95.0%,08m 23s,0,0,,490,,2,2,2
4744001803815052072,munch#1944,4,4,0,1.00,"1,760","4,850",190.69,0,0,2,3,25m 26s,"19,313","6,070","12,624",0,70,0,0,2,0,3,"288,206",76.0%,24m 04s,0,0,3,853,3,2,3,2
1664135678754719772,munch#1944,1,0,0,1.00,347,"2,475",187.26,0,0,1,7,13m 13s,"11,179","3,395","7,764",0,20,0,0,,0,0,"268,774",95.0%,20m 25s,0,0,2,340,2,1,1,6
4751334300655647111,munch#1944,2,3,0,0.67,712,"3,100",128.36,0,1,1,9,24m 09s,"15,535","4,300","11,195",0,40,0,0,1,1,1,"512,468",70.3%,22m 49s,0,0,2,799,3,,1,5
13368982060601015834,munch#1944,9,2,0,4.50,"2,909","3,100",140.27,0,0,,12,22m 06s,"14,395","4,120","9,960",0,30,0,0,,1,0,"520,727",97.0%,20m 46s,0,0,1,832,1,3,2,2
7063191139389553279,munch#1944,0,1,0,0.00,354,"1,000",72.82,0,0,,9,13m 44s,"9,030","1,900","7,120",0,10,0,0,,0,0,"349,076",98.2%,22m 30s,0,0,,345,1,,0,9
9292012129244913869,munch#1944,4,3,0,1.33,"1,807","5,900",279.62,0,0,,16,21m 06s,"17,604","7,300","9,835",0,50,0,0,,0,2,"400,524",75.6%,19m 44s,0,0,4,400,5,3,2,4
8619630184447035380,munch#1944,1,2,0,0.50,349,425,92.73,0,1,,36,04m 35s,"1,932",425,"1,477",0,30,0,0,,0,1,"250,113",66.5%,10m 20s,0,0,,200,1,1,1,
12201223276374703331,munch#1944,0,2,0,0.00,296,"1,150",115.97,0,0,1,31,09m 55s,"6,809","1,550","5,204",0,55,0,0,,0,1,"385,231",96.5%,08m 37s,0,0,1,200,,,0,2
10659062072062152583,munch#1944,3,2,0,1.50,"1,847","4,375",338.71,0,0,,21,12m 55s,"11,484","4,375","7,099",0,10,0,0,2,0,1,"337,666",92.3%,11m 45s,0,0,2,402,,1,2,6
10405601999426270965,munch#1944,2,2,0,1.00,"2,062","4,700",258.24,0,0,,20,18m 12s,"14,190","5,620","8,555",0,10,0,0,,0,1,"283,366",86.6%,17m 22s,0,0,4,337,1,1,1,9
373570300332937210,munch#1944,4,1,0,4.00,"1,654","3,975",151.43,0,1,1,3,26m 15s,"18,297","4,275","12,945",0,350,0,0,2,0,0,"364,953",92.9%,24m 58s,0,0,1,365,,3,5,7
