game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
6191979744311817048,2020-08-16,gs25#11901,BR Trios,01:36 AM,44th,2,,915,131.65
7498413346639839152,2020-08-16,gs25#11901,BR Trios,01:06 AM,1st,4,6,"2,225",78.25
12831382135364000066,2020-08-16,gs25#11901,BR Trios,12:43 AM,8th,1,7,527,23.42
5242928870433433784,2020-08-16,gs25#11901,BR Trios,12:10 AM,11th,5,4,"2,576",111.03
7902666060444182411,2020-08-15,gs25#11901,BR Trios,11:55 PM,22nd,5,4,"1,615",119.33
14259840333956409856,2020-08-15,gs25#11901,BR Trios,01:48 PM,8th,4,10,"2,202",91.12
16968225943430804707,2020-08-15,gs25#11901,BR Quads,01:22 PM,6th,6,2,"1,668",69.12
13884107868190010078,2020-08-15,gs25#11901,BR Trios,01:06 PM,21st,2,2,939,64.76
5903572828448804225,2020-08-15,gs25#11901,BR Trios,12:49 PM,24th,1,2,859,57.78
15148508358829287070,2020-08-15,gs25#11901,BR Trios,02:33 AM,7th,1,4,"1,555",65.70
13949534349393793674,2020-08-15,gs25#11901,BR Quads,02:07 AM,9th,2,1,754,31.95
16075577159517511184,2020-08-15,gs25#11901,BR Quads,01:55 AM,26th,0,2,306,28.51
1767151693668853413,2020-08-15,gs25#11901,BR Quads,01:41 AM,23rd,3,5,998,79.42
8782677309334513306,2020-08-15,gs25#11901,BR Quads,01:24 AM,15th,0,8,204,12.44
11157140267990774241,2020-08-15,gs25#11901,BR Quads,01:14 AM,31st,0,2,202,25.41
13780297415496995258,2020-08-15,gs25#11901,BR Quads,01:02 AM,27th,1,4,759,72.29
9832100372973798529,2020-08-15,gs25#11901,BR Quads,12:33 AM,2nd,5,11,"1,462",52.62
14694518878402753698,2020-08-15,gs25#11901,BR Quads,12:23 AM,28th,1,,380,42.78
1123155061263201511,2020-08-15,gs25#11901,BR Quads,12:01 AM,9th,4,3,"1,721",81.82
