game_id,gamer_id,game_date,game_time,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
6191979744311817048,gs25#11901,2020-08-16,1:36:40 AM,2,2,0,1.00,915,850,122.30,0,1,,44,06m 57s,"3,173",850,"2,293",0,30,0,0,,1,0,"177,778",79.8%,05m 28s,0,0,,355,,2,2,
7498413346639839152,gs25#11901,2020-08-16,1:06:56 AM,4,1,0,4.00,"2,225","9,575",336.75,0,2,2,1,28m 26s,"28,698","14,525","13,372",0,70,0,0,,1,0,"498,318",95.9%,26m 56s,0,0,9,"1,001",4,2,3,6
14259840333956409856,gs25#11901,2020-08-15,1:48:11 PM,4,2,0,2.00,"2,202","6,275",259.66,0,0,,8,24m 10s,"20,446","8,200","11,697",0,30,0,0,2,1,0,"614,207",98.2%,22m 44s,0,0,3,697,3,1,2,10
16968225943430804707,gs25#11901,2020-08-15,1:22:39 PM,6,3,0,2.00,"1,668","4,650",192.68,0,2,1,6,24m 08s,"19,571","7,170","11,769",0,340,0,0,2,0,2,"317,294",66.0%,22m 51s,0,0,2,610,3,6,5,2
13884107868190010078,gs25#11901,2020-08-15,1:06:19 PM,2,2,0,1.00,939,"1,250",86.21,0,0,1,21,14m 30s,"10,062","2,170","7,862",0,20,0,0,,1,0,"331,147",95.3%,13m 09s,0,0,,448,3,1,2,2
5903572828448804225,gs25#11901,2020-08-15,12:49:41 PM,1,4,0,0.25,859,900,60.54,0,1,,24,14m 52s,"8,117",900,"7,197",0,20,0,0,,0,3,"291,683",69.4%,13m 25s,0,0,,766,1,2,2,2
15148508358829287070,gs25#11901,2020-08-15,2:33:12 AM,1,3,0,0.33,"1,555","1,200",50.70,0,0,,7,23m 40s,"13,767","2,200","11,567",0,0,0,0,,1,1,"413,016",69.9%,22m 11s,0,0,1,400,2,,0,4
13949534349393793674,gs25#11901,2020-08-15,2:07:43 AM,2,3,0,0.67,754,"1,300",55.08,0,0,,9,23m 36s,"12,658","1,600","10,856",0,20,0,0,,0,2,"365,743",79.3%,22m 10s,0,0,1,952,1,2,2,1
1767151693668853413,gs25#11901,2020-08-15,1:41:52 AM,3,2,0,1.50,998,"1,750",139.26,0,1,,23,12m 34s,"7,906","2,050","5,836",0,20,0,0,,0,1,"301,628",94.9%,11m 13s,0,0,1,473,1,2,2,5
14694518878402753698,gs25#11901,2020-08-15,12:23:37 AM,1,2,0,0.50,380,350,39.40,0,0,,28,08m 53s,"4,569",350,"4,199",0,20,0,0,,1,0,"366,609",43.9%,07m 27s,0,0,,610,1,,1,
1123155061263201511,gs25#11901,2020-08-15,12:01:12 AM,4,4,0,1.00,"1,721","2,600",123.61,0,0,,9,21m 02s,"14,929","4,620","10,259",0,50,0,0,,0,3,"353,475",67.5%,19m 37s,1,0,2,956,2,2,2,3
